iter	Passed	Remaining
1541	1004	12019
1542	1004	12016
1543	1005	12013
1544	1005	12011
1545	1006	12008
1546	1006	12006
1547	1007	12003
1548	1007	12001
1549	1008	11998
1550	1008	11996
1551	1009	11994
1552	1009	11992
1553	1010	11989
1554	1010	11985
1555	1010	11983
1556	1011	11980
1557	1011	11977
1558	1012	11974
1559	1012	11971
1560	1013	11968
1561	1013	11964
1562	1014	11961
1563	1014	11957
1564	1014	11953
1565	1015	11949
1566	1015	11946
1567	1016	11943
1568	1016	11940
1569	1016	11937
1570	1017	11934
1571	1017	11931
1572	1018	11929
1573	1018	11926
1574	1019	11924
1575	1019	11920
1576	1020	11918
1577	1020	11917
1578	1021	11915
1579	1021	11913
1580	1022	11911
1581	1022	11908
1582	1023	11905
1583	1023	11902
1584	1024	11899
1585	1024	11896
1586	1025	11893
1587	1025	11891
1588	1026	11889
1589	1026	11886
1590	1027	11883
1591	1027	11881
1592	1028	11878
1593	1028	11876
1594	1029	11875
1595	1029	11873
1596	1030	11873
1597	1030	11871
1598	1031	11869
1599	1031	11866
1600	1032	11864
1601	1032	11861
1602	1033	11859
1603	1033	11856
1604	1034	11854
1605	1034	11852
1606	1035	11850
1607	1035	11848
1608	1036	11846
1609	1037	11845
1610	1037	11843
1611	1038	11842
1612	1038	11841
1613	1039	11841
1614	1040	11840
1615	1040	11840
1616	1041	11840
1617	1042	11838
1618	1042	11838
1619	1043	11837
1620	1044	11837
1621	1044	11835
1622	1045	11840
1623	1046	11840
1624	1046	11838
1625	1047	11836
1626	1048	11835
1627	1048	11833
1628	1049	11831
1629	1049	11830
1630	1050	11828
1631	1050	11827
1632	1051	11826
1633	1052	11825
1634	1052	11823
1635	1053	11822
1636	1053	11822
1637	1054	11822
1638	1055	11822
1639	1055	11821
1640	1056	11821
1641	1057	11820
1642	1057	11820
1643	1058	11818
1644	1059	11817
1645	1059	11816
1646	1060	11814
1647	1060	11813
1648	1061	11812
1649	1062	11812
1650	1062	11810
1651	1063	11810
1652	1064	11810
1653	1064	11809
1654	1065	11808
1655	1066	11809
1656	1066	11808
1657	1067	11807
1658	1068	11807
1659	1068	11806
1660	1069	11806
1661	1069	11805
1662	1070	11806
1663	1071	11805
1664	1071	11804
1665	1072	11802
1666	1073	11802
1667	1073	11800
1668	1074	11800
1669	1075	11799
1670	1075	11798
1671	1076	11798
1672	1076	11797
1673	1077	11796
1674	1078	11796
1675	1078	11794
1676	1079	11793
1677	1080	11793
1678	1080	11793
1679	1081	11793
1680	1082	11793
1681	1082	11792
1682	1083	11791
1683	1084	11792
1684	1084	11791
1685	1085	11791
